"";"Aleksandar Pavlovic";"Alphonso Davies";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Matthijs De Ligt";"Raphael Guerreiro";"Serge Gnabry";"Thomas Muller"
"Aleksandar Pavlovic";0;0.058;0.087;0.014;0.058;0.043;0;0.203;0.116;0;0;0.29;0.072;0;0.058
"Alphonso Davies";0.188;0;0.438;0;0.125;0;0;0.062;0;0;0.062;0;0;0.125;0
"Eric Dier";0.141;0.077;0;0;0.013;0;0;0.192;0;0.103;0;0.346;0.115;0.013;0
"Harry Kane";0.182;0;0;0;0.091;0.091;0;0.182;0.091;0.091;0;0;0.091;0;0.182
"Jamal Musiala";0.073;0.098;0.049;0.146;0;0.073;0;0.098;0.098;0;0.024;0.073;0.195;0;0.073
"Joshua Kimmich";0.203;0;0.085;0.034;0.034;0;0.034;0.017;0.119;0.034;0;0.373;0.017;0;0.051
"Konrad Laimer";0.5;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0
"Leon Goretzka";0.205;0;0.082;0.027;0.178;0;0;0;0.014;0.027;0;0.178;0.274;0;0.014
"Leroy Sane";0.276;0;0;0.069;0.103;0.207;0;0.138;0;0;0;0.069;0.034;0;0.103
"Manuel Neuer";0.2;0.08;0.32;0;0;0.08;0;0.08;0;0;0;0.2;0.04;0;0
"Mathys Tel";0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0
"Matthijs De Ligt";0.02;0;0.343;0;0;0.343;0;0.088;0.078;0.118;0;0;0;0;0.01
"Raphael Guerreiro";0.12;0;0.14;0.06;0.2;0;0;0.36;0.04;0.02;0;0;0;0;0.06
"Serge Gnabry";0;0.667;0;0;0;0;0;0;0;0;0;0.333;0;0;0
"Thomas Muller";0.077;0;0;0;0.077;0.077;0;0;0.385;0;0;0;0.385;0;0
