"";"Alex Meret";"Amir Rrahmani";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Hamed Junior Traore";"Jens Cajuste";"Jesper Lindstrom";"Juan Jesus";"Khvicha Kvaratskhelia";"Mathias Olivera";"Matteo Politano";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;0.333;0;0.19;0;0;0;0;0.19;0;0.143;0;0.095;0;0.048
"Amir Rrahmani";0.163;0;0.02;0.286;0;0.041;0.02;0.041;0.184;0;0;0.061;0.061;0.02;0.102
"Giacomo Raspadori";0;0;0;0.167;0;0;0;0.333;0;0;0;0;0.167;0;0.333
"Giovanni Di Lorenzo";0.038;0.135;0.038;0;0;0.019;0.019;0.019;0.019;0;0;0.442;0;0.019;0.25
"Giovanni Simeone";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Hamed Junior Traore";0;0;0.333;0.111;0;0;0;0.222;0.111;0;0;0;0;0.111;0.111
"Jens Cajuste";0;0.05;0;0.05;0;0;0;0;0.15;0.1;0.25;0.1;0.15;0.05;0.1
"Jesper Lindstrom";0.1;0;0;0.2;0;0.2;0;0;0;0;0.1;0;0.2;0;0.2
"Juan Jesus";0.229;0.146;0;0.021;0;0.021;0.083;0;0;0.104;0.292;0;0.021;0.042;0.042
"Khvicha Kvaratskhelia";0;0.077;0;0.077;0;0;0.154;0;0.231;0;0.077;0;0.231;0.077;0.077
"Mathias Olivera";0.102;0.041;0;0;0;0.082;0.082;0.082;0.163;0.245;0;0;0.102;0.02;0.082
"Matteo Politano";0;0.15;0;0.4;0;0;0.05;0.05;0;0;0.1;0;0.1;0.1;0.05
"Stanislav Lobotka";0.026;0.158;0;0.026;0.053;0.026;0.105;0;0.158;0.026;0.158;0.132;0;0.026;0.105
"Victor Osimhen";0;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0;0;0.4
"Zambo Anguissa";0.045;0.114;0.114;0.295;0;0.023;0;0.045;0.045;0.045;0.045;0.068;0.114;0.045;0
