"";"Beraldo";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Marco Asensio";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Vitinha Ferreira";"Warren Zaire-Emery"
"Beraldo";0;0;0.078;0.039;0.02;0.02;0.039;0.137;0.02;0.176;0.216;0.078;0.137;0.039
"Bradley Barcola";0;0;0.222;0;0;0.111;0;0.167;0;0.111;0;0;0.111;0.278
"Fabian Ruiz";0.071;0.024;0;0.048;0;0.024;0.048;0.119;0;0.071;0.071;0.19;0.286;0.048
"Gianluigi Donnarumma";0.25;0;0.062;0;0;0;0;0.188;0;0.438;0;0;0.062;0
"Goncalo Ramos";0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0
"Kang-In Lee";0.061;0.061;0.061;0;0;0;0.061;0.061;0;0.061;0;0.333;0.303;0
"Kylian Mbappe";0.04;0.04;0.2;0;0;0.16;0;0;0;0;0.28;0.12;0.16;0
"Lucas Hernandez";0.132;0.189;0.038;0.057;0;0.038;0.019;0;0.019;0.283;0.038;0.038;0.113;0.038
"Marco Asensio";0;0;0;0;0;0.111;0.222;0.111;0;0;0;0.111;0.444;0
"Marquinhos";0.171;0.043;0.114;0.057;0;0.086;0.029;0.171;0.029;0;0.029;0.129;0.143;0
"Nuno Mendes";0.231;0;0.128;0.077;0;0;0.333;0.026;0.026;0;0;0.077;0.103;0
"Ousmane Dembele";0.029;0.059;0.059;0;0;0.147;0.206;0.059;0.029;0.118;0.059;0;0.206;0.029
"Vitinha Ferreira";0.089;0.038;0.101;0.013;0;0.139;0.025;0.101;0.038;0.177;0.076;0.127;0;0.076
"Warren Zaire-Emery";0;0.312;0;0;0.062;0;0;0.125;0;0.188;0;0.062;0.25;0
